timestamp,line_id,station_id,direction,entries,exits,transfers
2026-07-20T08:00:00+08:00,L-A,S-ALPHA,up,120,40,10
2026-07-20T08:00:00+08:00,L-A,S-ALPHA,down,80,60,8
2026-07-20T08:00:00+08:00,L-A,S-BETA,up,70,90,20
2026-07-20T08:00:00+08:00,L-A,S-BETA,down,55,75,18
2026-07-20T09:00:00+08:00,L-A,S-ALPHA,up,100,65,9
2026-07-20T09:00:00+08:00,L-A,S-ALPHA,down,75,70,7
2026-07-20T09:00:00+08:00,L-A,S-BETA,up,68,92,17
2026-07-20T09:00:00+08:00,L-A,S-BETA,down,52,78,15
2026-07-20T17:00:00+08:00,L-A,S-ALPHA,up,95,125,12
2026-07-20T17:00:00+08:00,L-A,S-BETA,down,88,115,16
2026-07-20T18:00:00+08:00,L-A,S-ALPHA,up,82,135,11
2026-07-20T18:00:00+08:00,L-A,S-BETA,down,79,122,14
2026-07-20T08:00:00+08:00,L-B,S-ALPHA,up,90,55,6
2026-07-20T08:00:00+08:00,L-B,S-BETA,down,65,85,12
2026-07-20T09:00:00+08:00,L-B,S-ALPHA,up,84,62,5
2026-07-20T09:00:00+08:00,L-B,S-BETA,down,61,89,10
2026-07-20T17:00:00+08:00,L-B,S-ALPHA,up,76,98,8
2026-07-20T17:00:00+08:00,L-B,S-BETA,down,72,105,11
2026-07-20T18:00:00+08:00,L-B,S-ALPHA,up,69,112,7
2026-07-20T18:00:00+08:00,L-B,S-BETA,down,66,108,9
